IDCNTRY;dvar;groupvar;refgroup;compgroup;pct;pct_se;cpct;cpct_se;pctdiff;pctdiff_se;pctdiff_t;mnx;mnx_se;cmnx;cmnx_se;mnxdiff;mnxdiff_se;mnxdiff_t;weight;method;jk2type;date;time;reps;infile;selcrit
Hungary;ASDMSCL;ASBGSEX;BOY;BOY;50,1333288510044;,97282673570649;50,1333288510044;,97282673570649;0; ; ;1,41261431473305;,0192015868950898;1,41261431473305;,0192015868950898;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASDMSCL;ASBGSEX;GIRL;GIRL;39,3934293264029;4,23401132640263;39,3934293264029;4,23401132640263;0; ; ;1,6539528764616;,0308349733764017;1,6539528764616;,0308349733764017;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASDMSCL;ASBGSEX;GIRL;BOY;39,3934293264029;4,23401132640263;60,6065706735971;4,23401132640263;21,2131413471941;8,46802265280526;2,50508793102563;1,6539528764616;,0308349733764017;1,63917119389401;,0235372625416143;-,0147816825675851;,0425577346395659;-,347332457725382;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASDMSCL;ASBGSEX;BOY;GIRL;60,6065706735971;4,23401132640263;39,3934293264029;4,23401132640263;-21,2131413471941;8,46802265280526;-2,50508793102563;1,63917119389401;,0235372625416143;1,6539528764616;,0308349733764017;,0147816825675851;,0425577346395659;,347332457725382;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Iran, Islamic Republic of;ASDMSCL;ASBGSEX;BOY;BOY;60,6065706735971;4,23401132640263;60,6065706735971;4,23401132640263;0; ; ;1,63917119389401;,0235372625416143;1,63917119389401;,0235372625416143;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;ASDMSCL;ASBGSEX;GIRL;GIRL;49,0030289401909;,818598316069571;49,0030289401909;,818598316069571;0; ; ;1,50728067993052;,0201648534780236;1,50728067993052;,0201648534780236;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;ASDMSCL;ASBGSEX;GIRL;BOY;49,0030289401909;,818598316069571;50,9969710598091;,818598316069573;1,99394211961829;1,63719663213914;1,21790020848811;1,50728067993052;,0201648534780236;1,45290310951658;,0179892857091907;-,0543775704139362;,0253348892236012;-2,14635122080107;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;ASDMSCL;ASBGSEX;BOY;GIRL;50,9969710598091;,818598316069573;49,0030289401909;,818598316069571;-1,99394211961829;1,63719663213914;-1,21790020848811;1,45290310951658;,0179892857091907;1,50728067993052;,0201648534780236;,0543775704139362;,0253348892236012;2,14635122080107;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Italy;ASDMSCL;ASBGSEX;BOY;BOY;50,9969710598091;,818598316069573;50,9969710598091;,818598316069573;0; ; ;1,45290310951658;,0179892857091907;1,45290310951658;,0179892857091907;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
Japan;ASDMSCL;ASBGSEX;GIRL;GIRL;49,0756146510986;,591793216153463;49,0756146510986;,591793216153463;0; ; ;1,94944733969155;,0172336467798965;1,94944733969155;,0172336467798965;0; ; ;TOTWGT;JRR;HALF;25-FEB-26;22h26m;75;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_4_2003.sav;NONE
