"";"IDCNTRY";"ASBGSEX";"dvar";"n";"TOTWGT";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"38";"Singapore";"BOY";"ASMMAT0";3310;25489,2766752507;473,472682851448;12,827648101135;597,569255972867;6,45264155299827;696,77591891331;7,4456321239001;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"39";"Slovenia";"GIRL";"ASMMAT0";1497;8901,85002087996;374,120693870976;6,09974723248959;483,028523683927;5,63465914152784;567,904993760248;3,69372262992557;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"40";"Slovenia";"BOY";"ASMMAT0";1563;9503,76952092101;370,181712042459;4,76202298031194;487,445649866901;5,15622561813843;581,465432252673;8,83963230097453;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"41";"Tunisia";"GIRL";"ASMMAT0";2087;104426,483491765;213,402945601965;9,85262964929653;342,84437686969;5,44295717051888;469,726148765811;8,92285930572294;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"42";"Tunisia";"BOY";"ASMMAT0";2245;111973,076928233;207,032523759009;6,68957655107215;335,671461593387;5,77846316977595;468,39925976282;8,30356201476144;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"43";"United States";"GIRL";"ASMMAT0";4896;1745749,73717814;416,550624204819;3,55313615987845;517,613023005009;3,92597547366616;608,276314636511;2,26485527092181;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"44";"United States";"BOY";"ASMMAT0";4904;1762641,53547303;417,815626229758;4,13501724022005;526,201536936515;2,75925532824094;619,966239847905;4,74083067701117;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"45";"Yemen";"GIRL";"ASMMAT0";1625;162249,118470615;129,982692284322;6,9282732995037;271,946542429278;9,03187678737532;422,058904543629;10,9447762103665;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"46";"Yemen";"BOY";"ASMMAT0";2421;265594,76152227;138,401347352213;11,1856213614829;277,254770685429;10,3933172691607;436,395495709687;13,0688700079522;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"47";"England";"GIRL";"ASMMAT0";1730;285372,098295551;419,460848667381;4,74778007744697;535,326942377182;6,23017354069647;635,731196532717;4,70313929456375;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"48";"England";"BOY";"ASMMAT0";1758;290514,351647581;412,185728376255;5,28928526868935;538,091414417805;4,89195255982015;645,331935694435;3,48669398530348;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"49";"Scotland";"GIRL";"ASMMAT0";1991;28590,0125339235;387,998142110322;4,42526765641384;487,448515454292;3,27283231975758;577,258908869071;5,62013167224971;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"50";"Scotland";"BOY";"ASMMAT0";1930;27411,2111652137;389,63638896053;11,9967526412363;500,716970592238;4,04452769248768;594,363844924474;3,80106201778417;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"51";"Belgium (Flemish)";"GIRL";"ASMMAT0";2353;33053,7170438294;476,95088973112;4,70385348696559;549,571459567001;2,31707471783518;622,052849931103;2,20285673860239;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"52";"Belgium (Flemish)";"BOY";"ASMMAT0";2344;32978,8484317093;473,051517476016;7,84278970489775;553,904794169311;2,4057542331416;628,181032392821;1,59150661543985;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"53";"Canada (Ontario)";"GIRL";"ASMMAT0";2172;68161,3446797113;415,712008567819;6,99625680635705;506,664750855381;4,55921205086405;592,872660728855;4,82971084543802;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"54";"Canada (Ontario)";"BOY";"ASMMAT0";2148;71889,1591106;423,305902779774;3,75088715555474;517,999491653054;3,51825009989952;609,569193937671;8,20839324102374;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"55";"Canada (Quebec)";"GIRL";"ASMMAT0";2147;42503,8606690406;418,055795185369;4,90153288633879;505,143891772953;3,13611112299387;583,862243718596;5,02459743447326;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"56";"Canada (Quebec)";"BOY";"ASMMAT0";2148;42894,4708666469;419,366339692529;4,95146755307332;512,837239475811;2,46755038244493;590,993691089728;5,23043295751203;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"57";"United States (Indiana)";"GIRL";"ASMMAT0";1147;41492,292232543;451,957144039334;6,17235090200441;534,220761545186;4,54916129750579;607,835626934391;6,30383751489135;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"58";"United States (Indiana)";"BOY";"ASMMAT0";1081;38488,8696102833;444,793187233857;4,35396020109251;536,291888419207;2,30851801637689;621,5832184185;7,65673304698413;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"59";"Table Average";"GIRL";"ASMMAT0";NA;NA;388,000761448491;1,20123647863767;492,300289647192;1,01757534630658;586,846113530218;1,22140202297205;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
"60";"Table Average";"BOY";"ASMMAT0";NA;NA;384,119289165762;1,41949921140334;494,61037949553;0,908083150813068;593,316791382212;1,29976802575831;"TOTWGT";75;"JRR";"HALF";5;"Y";"04-MAR-26";"13h15m";"NONE"
