"";"IDCNTRY";"SGENDER";"dvar";"n";"TOTWGTS";"p10";"p10_se";"p50";"p50_se";"p90";"p90_se";"weight";"reps";"method";"jk2type";"npv";"shortcut";"date";"time";"selcrit"
"63";"Slovenia";"BOY";"PVCIV";1528;8654,28491503518;384,178225441961;6,27742768705245;499,21327736861;6,55318579951445;620,347079763033;10,7212643971454;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"64";"Slovenia";"GIRL";"PVCIV";1517;8502,77986503352;427,500383937188;7,08501537926079;532,230650590701;4,88244375659635;634,85789984131;5,93334225177931;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"65";"Spain";"BOY";"PVCIV";1619;215694,961950828;378,500078454722;10,3540241660202;498,161768667269;6,36488561681741;609,62169100936;5,66645151243758;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"66";"Spain";"GIRL";"PVCIV";1663;221893,097588403;405,20839946877;7,25769556774812;516,87862355113;4,81861821779747;618,033760620084;5,85832858764315;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"67";"Sweden";"BOY";"PVCIV";1707;52682,3711115122;394,693312455434;9,60505859480016;524,659787941049;6,51256648790923;662,197126076385;7,84343734252194;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"68";"Sweden";"GIRL";"PVCIV";1716;52884,2629859279;427,079780456652;7,66664505403512;549,475393292685;4,65522746601033;669,978290466304;8,43569537935681;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"69";"Switzerland";"BOY";"PVCIV";1450;42020,0686945019;411,307149936545;7,44717629290305;530,758538408824;6,20657408938111;642,84936597172;10,2185873117111;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"70";"Switzerland";"GIRL";"PVCIV";1454;40823,0475842613;434,019737885499;7,31837969726265;537,488194097403;4,12105564540923;634,857899841547;5,02528758817634;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"71";"Thailand";"BOY";"PVCIV";2433;414579,63882822;333,705807777617;5,50813941947877;421,82223694995;6,07331618759181;527,604012304803;9,57046228134904;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"72";"Thailand";"GIRL";"PVCIV";2812;456305,803828884;379,551587156062;7,15953117539105;476,290387679349;6,58012603974756;566,720135994669;7,29719765660674;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"73";"England";"BOY";"PVCIV";1388;258743,376725004;363,148051415151;11,4435842209921;512,251985265232;7,72411696077683;646,214193816009;10,661281932144;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"74";"England";"GIRL";"PVCIV";1496;287217,048104931;397,427235078989;8,83267309133237;529,076124486679;9,2245544852115;659,883806933435;10,238045128085;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"75";"Belgium (Flemish)";"BOY";"PVCIV";1486;34933,6964296677;397,637536819188;8,19637374419572;514,144700927644;8,06034747755537;617,192553659012;7,8659598220272;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"76";"Belgium (Flemish)";"GIRL";"PVCIV";1465;32605,0129074272;410,676244715741;10,4729422064804;522,767072278636;7,1903515123389;612,355613632846;8,34874070795284;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"77";"Table Average";"BOY";"PVCIV";NA;NA;371,986258762734;1,39005713024423;490,098357204884;1,18996806786605;610,053363002519;1,66864940832595;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
"78";"Table Average";"GIRL";"PVCIV";NA;NA;399,624334839022;1,34458513065201;514,930565325479;1,10513431342848;621,769383638008;1,3940395112339;"TOTWGTS";75;"JRR";"HALF";5;"N";"04-MAR-26";"13h20m";"NONE"
