IDCNTRY;percentile;dvar;groupvar;refgroup;compgroup;val;val_se;cval;cval_se;valdiff;valdiff_se;valdiff_t;weight;method;jk2type;shortcut;date;time;reps;npv;infile;selcrit
Botswana;10;BSMMAT0;BSBG01;Boy;Boy;265,159086;5,29861525495824;265,159086;5,29861525495824;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;50;BSMMAT0;BSBG01;Girl;Girl;403,96053;2,75458060913998;403,96053;2,75458060913998;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;50;BSMMAT0;BSBG01;Girl;Boy;403,96053;2,75458060913998;383,829024;3,59608471281835;-20,131506;3,86602468421968;-5,20728853133625;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;50;BSMMAT0;BSBG01;Boy;Girl;383,829024;3,59608471281835;403,96053;2,75458060913998;20,131506;3,86602468421968;5,20728853133625;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;50;BSMMAT0;BSBG01;Boy;Boy;383,829024;3,59608471281835;383,829024;3,59608471281835;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;90;BSMMAT0;BSBG01;Girl;Girl;497,89178;4,07005960043955;497,89178;4,07005960043955;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;90;BSMMAT0;BSBG01;Girl;Boy;497,89178;4,07005960043955;492,489396;3,80066427671482;-5,402384;5,19466350068862;-1,03998728681537;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;90;BSMMAT0;BSBG01;Boy;Girl;492,489396;3,80066427671482;497,89178;4,07005960043955;5,402384;5,19466350068862;1,03998728681537;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Botswana;90;BSMMAT0;BSBG01;Boy;Boy;492,489396;3,80066427671482;492,489396;3,80066427671482;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;10;BSMMAT0;BSBG01;Girl;Girl;435,566202;3,83680496733075;435,566202;3,83680496733075;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;10;BSMMAT0;BSBG01;Girl;Boy;435,566202;3,83680496733075;433,355528;5,79905445069828;-2,21067400000001;6,40189652502332;-,34531548445981;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;10;BSMMAT0;BSBG01;Boy;Girl;433,355528;5,79905445069828;435,566202;3,83680496733075;2,21067400000001;6,40189652502332;,34531548445981;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;10;BSMMAT0;BSBG01;Boy;Boy;433,355528;5,79905445069828;433,355528;5,79905445069828;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;50;BSMMAT0;BSBG01;Girl;Girl;529,43225;2,75872507810942;529,43225;2,75872507810942;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;50;BSMMAT0;BSBG01;Girl;Boy;529,43225;2,75872507810942;535,125916;2,95705318531744;5,69366600000001;2,89769240900168;1,9648966130127;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;50;BSMMAT0;BSBG01;Boy;Girl;535,125916;2,95705318531744;529,43225;2,75872507810942;-5,69366600000001;2,89769240900168;-1,9648966130127;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;50;BSMMAT0;BSBG01;Boy;Boy;535,125916;2,95705318531744;535,125916;2,95705318531744;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;90;BSMMAT0;BSBG01;Girl;Girl;609,002784;2,81497978838498;609,002784;2,81497978838498;0;0; ;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
Canada;90;BSMMAT0;BSBG01;Girl;Boy;609,002784;2,81497978838498;619,067652;3,21537350848289;10,064868;3,38127981347203;2,97664451190893;TOTWGT;JRR;FULL;N;26-FEB-26; 7h40m;150;5;Z:\RandA\Work\AndresStrello\ILSAreport_checks\DB\TIMSS_8_2015.sav;NONE
